,index,name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
0,0,African Bullfrog,['Africa'],Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,,"Tadpole, polliwog, larva",Solitary,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1.0,sub-saharan africa,,,YellowCreamOliveLight-Brown,Permeable,,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,,As many as 4000 eggs laid at a time,Humans,Amphibian,,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,,,,,1,0,0,9.5,46.76
1,1,African Clawed Frog,['Africa'],Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,"Small Fish, Insects, Spiders",Tadpole,Solitary,Abundant,Water pollution,Clawed front toes,Platanna,,warm stagnant water with grassland,Carnivore,,Nocturnal,African Clawed Frog,1.0,eastern and southern africa,A particularly ferocious amphibian!,Amphibian,BrownGreyAlbino,Permeable Scales,5 mph,8 - 15 years,25g - 220g (1oz - 8oz),2.5cm - 12cm (1in - 5in),10 - 12 months,,,"Snakes, Birds, Small Mammals",,,,4 - 5 days,,,,,Fresh,5 days,"2,000",,,0,0,1,0.1225,18.41
2,2,African Tree Toad,['Africa'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra,"Insects, Worms, Snails",,,,,,,,tropical lowland forest,Carnivore,,Solitary,,,central africa,Found in tropical moist lowland forests!,,BrownBlackWhiteTan,Permeable,5 mph,3 - 5 years,2g - 5g (0.07oz - 0.18oz),2.5cm - 3.8cm (1in - 1.5in),,,,"Fish, Toads, Birds",Amphibian,,Small body size and webbed feet,,,,,,,,100,,,1,0,0,0.0035,8.0
3,3,American Toad,['North-America'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus americanus,"Aquatic vegetation and algae, a wide variety of insects and other invertebrates, slugs, beetles, snails, and earthworms.",Tadpoles,Solitary/Group,"Unknown, due to constant fluctuations in different regions.",Snakes (Eastern hognose snakes),Warts on skin,,2-14 days,"semi-permanent pool or pond, dense vegetation patches",Omnivore,,,American Toad,3.0,"semi-permanent pool or pond, dense vegetation patches",,,BrownGreyOliveLight-Brown,Permeable,,"Talking about lifespan, they can live more than 10 years if taken care of, usually do not survive more than a year or two in the wild",Less than 1 lbs,50 to 100 mm,2 to 3 years,,"4,000-8,000 eggs",Snakes (Eastern hognose snakes),Frog (Amphibian),50 to 100 mm,,,,,,,,,,,,1,0,0,0.34019,7.5
4,4,Axolotl,['Central-America'],Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma mexicanum,,,Solitary,,,,,,high altitude freshwater lakes,Carnivore,500,Solitary,,,,Found only in one complex of lakes!,,BrownGreyBlackWhitePink,Permeable,10 mph,10 - 20 years,60g - 200g (2oz - 7oz),15cm - 45cm (6in - 18in),,,,"Birds, Fish",Amphibian,,Feathery gills and flattened-shaped head,,,,,"Worms, Insects, Molluscs",,,,Worms,,1,0,0,0.13,76.2
5,28,Bullfrog,"['Central-America', 'North-America', 'Ocean']",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,,,,,,,,,"lakes, ponds, rivers and streams",Carnivore,,Solitary,,,,Has loud cow-like calls!,,BrownGreyYellowBlackGreen,Permeable,10 mph,6 - 10 years,300g - 500g (10.5oz - 17.6oz),9cm - 15cm (3.5in - 6in),,,,,Amphibian,,Powerful legs and cow-like call,,20000.0,,,"Insects, Spiders, Small Fish",,,,Insects,,1,0,0,0.4,30.48
6,29,Burrowing Frog,['Oceania'],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Heleioporus,,,,,,,,,,"forests, rivers and marshes",Carnivore,,Solitary,,,,"Found close to marshes, streams and lakes!",,BrownGreyYellowBlackGreen,Permeable,5 mph,10 - 15 years,20g - 80g (0.7oz - 2.8oz),6cm - 10cm (2.4in - 4in),,,,"Foxes, Snakes, Birds",Amphibian,,"Long limbs and rough, bumpy skin",,200.0,,,"Insects, Worms, Spiders",,,,Insects,,1,0,0,0.05,20.32
7,5,Caecilian,"['Africa', 'Asia', 'Central-America', 'South-America']",Animalia,Chordata,Amphibia,Gymnophiona,Caecilidae,Caecilia Linnaeus,Apoda,"termites, earthworms, insects and other invertebrates",,,,habitat loss,Hooked teeth in some species babies for peeling and eating mother's skin,,,wet and tropical,Carnivore,,,Caecilians,192.0,"south america, south asia, southeast asia, africa, central america, seychelles",,,BrownGreyYellowBlackOrange,Skin,,up to 13 years in a zoo,Up to 2.2 pounds,3 inches to 5 feet,,four to six weeks,two to 60,"snakes, chickens, pigs, tenrecs, fish",amphibian,,,,,,,,,,,,,1,0,0,,10.16
8,32,Common Frog,['Europe'],Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana temporaria,,,,,,,,,"forests, rivers and marshes",Carnivore,,Solitary,,,,Found throughout the European continent!,,BrownGreyBlackGreen,Permeable,5 mph,5 - 10 years,20g - 80g (0.7oz - 2.8oz),6cm - 10cm (2.4in - 4in),,,,,Amphibian,,Short back legs and webbed toes,,1500.0,,,"Insects, Worms, Snails",,,,Insects,,0,1,0,0.05,20.32
9,6,Common Toad,['Europe'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo Bufo,,,,,,,,,"forests, woodlands and marshes",Carnivore,,Solitary,,,,Most active in wet weather!,,BrownGreyYellowBlackGreen,Permeable,5 mph,2 - 4 years,20g - 80g (0.7oz - 2.8oz),10cm - 18cm (4in - 7in),,,,"Foxes, Grass Snakes, Hedgehogs",Amphibian,,"Rough skin and long, agile toes",,100.0,,,"Insects, Worms, Spiders",,,,Insects,,1,0,0,0.05,35.56
10,7,Congo Snake,"['Central-America', 'North-America']",Animalia,Chordata,Amphibia,Urodela,Amphiumidae,Amphiuma,,"Crayfish, insects, worms, snails, fish, reptiles, and amphibians",,,,,,,,,Carnivore,30-350 eggs,,"Congo snake, amphiuma, or Congo eel",,,,,GreyBlackPurple,,,Up to 27 years,,Up to 4 feet,,,,,,,,,,No,Low,,,,,,,1,0,0,,121
11,8,Darwin’s Frog,['South-America'],Animalia,Chordata,Amphibia,Anura,Rhinodermatidae,Rhinoderma,Rhinoderma Darwinii,,,,,,,,,beech-tree forests and in fields,Carnivore,,Solitary,,,,Camouflages itself as a dead leaf!,,BrownGreyBlackTanGreen,Permeable,5 mph,10 - 15 years,2g - 5g (0.07oz - 0.17oz),2.5cm - 3.5cm (0.9in - 1.4in),,,,"Rodents, Snakes, Birds",Amphibian,,Small body size and leaf-like appearance,,30.0,,,"Insects, Worms, Snails",,,,Insects,,1,0,0,0.0035,7.62
12,9,Desert Rain Frog,['Africa'],Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps macrops,,,,unknown,Humans,"Large body, small limbs","Boulenger's short-headed, frogweb-footed rain frog",,sand dunes,Omnivore,,,,,,,,YellowLight-Brown,Permeable,,2 to 15 years,Up to 0.4 oz,2–2.5 inches,,,12–40,"Birds, Larger Mammals",Amphibian,,,,,,,,,,,"Insects, larve",,1,0,0,0.01984,5.71
13,30,Edible Frog,['Europe'],Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax kl. esculentus,"Insects, Moths, Spiders",Tadpole,Solitary,Sustainable,Habitat loss,,"Common Water Frog, Green Frog",,woodland swamps and ponds,Omnivore,,Diurnal,Edible Frog,1.0,across central europe,Are known to guard the muddy banks!,Amphibian,BrownBlackTanGreen,Permeable,5 mph,5 - 15 years,5g - 12g (0.17oz - 0.4oz),5cm - 11cm (1.9in - 4.7in),2 years,,,"Foxes, Cats, Birds",,,Long legs and streamlined body,2 - 3 weeks,,,,,Fresh,Immediately,"6,000",,,1,0,0,0.0085,20.32
14,10,Fire salamander,['Europe'],Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,,,"Salamander nymphs, metamorphs",Solitary,Unknown,Bsal fungus,Striking colors,,60-150 days (2-5 months),forests,Carnivore,,,Fire salamander,13.0,central and southern europe,,,YellowRedBlackOrange,Permeable,,,40g (0.09lbs),15–30 cm (6-12 in) long,4-6 years,,20-75,Grass snakes,Amphibian,,,,,,,,,,,,,1,0,0,0.04,57.15
15,11,Fire-Bellied Toad,"['Asia', 'Europe']",Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina,,,,,,,,,"forests, jungle and marshes",Carnivore,,Solitary,,,,Found across mainland Europe and Asia!,,BrownGreyYellowRedBlackGreenOrange,Permeable,5 mph,10 - 15 years,20g - 80g (0.7oz - 2.8oz),4cm - 7cm (1.5in - 3in),,,,"Foxes, Snakes, Birds",Amphibian,,Brightly coloured belly and long toes,,200.0,,,"Insects, Worms, Spiders",,,,Insects,,1,0,0,0.05,13.97
16,43,Frog,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Amphibia,Anura,,,,,,,,,,,,rainforest and swampland,Omnivore,"2,000",Solitary,,,,"There are around 7,000 different species!",,,Permeable,10 mph,1 - 8 years,"2g - 3,000g (0.07oz - 128oz)",0.1cm - 30cm (0.39in - 12in),,,,"Fox, Birds, Snakes",Amphibian,,Brightly coloured skin and long sticky tongue,,,,,"Fly, Worms, Insects",,,,Fly,,1,0,0,0.0025,76.2
17,12,Giant Salamander,"['Asia', 'North-America']",Animalia,Chordata,Amphibia,Urodela,Cryptobranchidae,,,"Aquatic life, including crabs, fish, frogs and giant salamanders",Larvae,Solitary,"The South China giant salamander may be extinct, and there are less than 50,000 Chinese giant salamanders and 590 Ozark hellbenders left in the wild. Biologists aren't quite sure how many Japanese giant salamanders are left in the wild though its conservation status is near threatened. There are about 13,000 Pacific giant salamanders in British Columbia.","Pollution, habitat destruction, over-harvesting",Their size,"Hellbenders are called hellbender salamander, devil dog, water dog, mud dog, grampus, mud devil, Allegheny alligator and leverian water newt. Chinese giant salamanders are called infant fish because they make a noise like a baby’s cry. The Japanese giant salamander is called the giant pepper fish, or Ōsanshōuo because of the smell it gives off.",40 to 210 days before eggs hatch,,Omnivore,,,"Giant salamander, hellbender, Japanese giant salamander, Chinese giant salamander, South China giant salamander, Pacific giant salamander",,"east asia, eastern united states, canada",,Solitary,BrownGreyBlack,Smooth,,"Up to 50 years, though oldest specimen lived 72 years",0.89 to 130 pounds,Up to 6.5 feet,Five to eight years,,83 to 600 eggs,,Amphibian,,,,,,,,,,,,,1,0,0,,Unknown
18,13,Glass Frog,['Central-America'],Animalia,Chordata,Amphibia,Anura,Centrolenidae,,,,tadpoles,Solitary/Group,Unknown number of thousands,Rainforest deforestation,Moves by saltation (bipedal jumping),"Leaf frog, tree frog",Two weeks,"arboreal, tropical mountainous, high montane streams",Carnivore,,,Glass frog,,central and south america,,Communal,Green,Permeable,,10 to 14 years,5 to 14 grams (0.2 to 0.5 ounces),3 to7.5 cm (1.2 to 3.0 inches),One year,Larval tadpole stage is up to 10 months,18 to 30 eggs,"Birds, snakes, and small mammals. Frog flies attack the eggs.",Amphibian,1 to 2 cm (0.4 to 0.8 inches),,,,,,Small insects and other smaller frogs,,,,,,1,0,0,0.0095,14.61
19,14,Goliath Frog,['Africa'],Animalia,Chordata,Amphibia,Anura,Conrauidae,Conraua,Conraua goliath,,tadpole,Solitary,unknown,hunting,massive size,"Giant Slippery Frog, Goliath Bullfrog",85-95 days,"freshwater, tropical, rainforest",Carnivore,,Solitary,Goliath Frog,1.0,africa,,,BrownYellowGreenOrange,Permeable,,15 years,1.3lbs-7.2lbs,15cm-32cm,10-12 months,,,humans,amphibian,,,,,,,"insects, fish, crustaceans, mollusks, amphibians",,,several hundred-several thousand,,,1,0,0,1.92776,23.5
20,15,Gray Tree Frog,['North-America'],Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,"mites, spiders, plant lice, snails, slugs",tadpole,Solitary,Unknown,Habitat loss,Change color based on temperature and activity,,"Eggs hatch after 3 to 7 days, depending on water temperature","forest, swamps, agricultural land, residential backyards",Carnivore,,,Gray Tree Frog,1.0,eastern u.s. and southeastern canada,,,BrownGreyGreen,,,7 to 9 years,,males are 1.25in - 2in (32mm - 52mm) females are 1.5in - 2.25in (38mm - 60mm),2 years,45 to 65 days for metamorphosis from tadpole,,"Birds, snakes, small mammals, and other frogs",Amphibian,,,,,,,,,,1000 to 2000 eggs in groups of 10 - 40,,,1,0,0,,4.19
